ab,o,n
77331,0.6,0.65
61781,0.7,0.75
47331,0.2,0.35
99621,0.7,0.75
95021,0.6,0.65
36261,0.55,0.6
77291,0.6,0.7
24121,0.35,0.4
59011,0.4,0.45
69511,0.6,0.65
17191,0.55,0.65
33601,0.45,0.5
67531,0.2352,0.25
95191,0.4,0.45
90901,0.2,0.25
93081,0.35,0.5
97901,0.35,0.45
95171,0.3496,0.4
29801,0.2497,0.4
86981,0.5,0.55
80681,0.35,0.45
57261,0.5,0.55
38631,0.55,0.6
65641,0.25,0.3
69471,0.45,0.5
43691,0.5,0.55
71981,0.65,0.75
80971,0.5,0.55
30021,0.5,0.55
54081,0.35,0.45
44321,0.35,0.4
81031,0.35,0.45
60881,0.4,0.45
27601,0.45,0.5
58051,0.45,0.5
70921,0.1499,0.25
66441,0.55,0.65
62401,0.3492,0.45
96921,0.45,0.5
36761,0.3,0.35
68551,0.599,0.7
69411,0.45,0.5
92741,0.4,0.45
66151,0.2,0.35
67181,0.4,0.45
19291,0.25,0.3
43181,0.5,0.55
20531,0.55,0.6
47451,0.25,0.3
48391,0.225,0.2625
39251,0.35,0.4
79791,0.3,0.3375
57571,0.3375,0.375
43071,0.4495,0.45
24401,0.4,0.45
26121,0.15,0.1875
77451,0.65,0.7
29151,0.5,0.55
68151,0.6,0.65
34431,0.5,0.55
19391,0.3,0.3375
30731,0.45,0.55
96001,0.45,0.5
18051,0.7,0.75
81011,0.6,0.65
97691,0.45,0.5
43231,0.45,0.5
89991,0.35,0.4
68501,0.55,0.6
79871,0.45,0.5
31571,0.225,0.2625
31731,0.4,0.45
61851,0.2497,0.3
87421,0.45,0.5
57211,0.5,0.65
80071,0.5,0.55
17171,0.4,0.45
71981,0.65,0.75
18051,0.7,0.75
36261,0.55,0.6
33601,0.45,0.5
71831,0.35,0.4
59011,0.4,0.45
96581,0.4125,0.45
70221,0.5456,0.6
33881,0.375,0.4125
23521,0.55,0.6
39631,0.3,0.35
81071,0.4802,0.5
30791,0.5,0.4
18101,0.55,0.4
79311,0.225,0.1875
35771,0.5,0.4
93041,0.5,0.35
49561,0.6,0.5
82781,0.4,0.25
99861,0.4875,0.4125
78401,0.5,0.4
43621,0.4,0.3
35711,0.4125,0.3375
80511,0.6,0.45
61181,0.5,0.35
19521,0.45,0.3
18661,0.45,0.4
93191,0.4125,0.3375
90751,0.35,0.2
79371,0.2,0.15
99191,0.2,0.15
52611,0.3,0.25
31511,0.4125,0.3375
94281,0.3,0.25
46171,0.55,0.4
18901,0.6,0.45
99321,0.65,0.55
18261,0.7,0.6
66781,0.4125,0.375
80521,0.4,0.35
19751,0.45,0.35
19141,0.4,0.3
19821,0.55,0.45
99021,0.3375,0.2625
93061,0.55,0.5
19791,0.6,0.45
51951,0.55,0.45
45381,0.55,0.45
63321,0.55,0.4
47621,0.3,0.25
80891,0.4,0.35
64191,0.45,0.35
68481,0.4,0.35
79171,0.65,0.55
62721,0.6,0.5
34311,0.65,0.55
18601,0.6,0.5
88301,0.6,0.45
77341,0.45,0.35
92751,0.35,0.25
99911,0.3,0.25
44621,0.45,0.375
78931,0.45,0.4
44011,0.6,0.45
97421,0.65,0.5
29221,0.6,0.55
45591,0.45,0.35
57151,0.6,0.5
19211,0.45,0.4
53311,0.55,0.45
63621,0.5,0.45
63171,0.65,0.55
83031,0.4,0.25
71221,0.35,0.3
18701,0.45,0.4
67451,0.35,0.3
52731,0.2625,0.225
62471,0.5,0.4
79401,0.55,0.4
31831,0.375,0.3375
72151,0.3,0.25
18841,0.5,0.35
99841,0.55,0.45
67581,0.8,0.75
68611,0.6,0.55
65011,0.7997,0.7
80581,0.7,0.6
94331,0.5,0.45
83061,0.7               0.,0.65
94321,0.75,0.7
60981,0.65,0.6
80351,0.65,0.6
79741,0.7,0.65
46611,0.45,0.4
94341,0.5,0.45
40631,0.6,0.55
63671,0.6,0.55
80021,0.7997,0.65
72691,0.65,0.5
72671,0.65,0.6
80011,0.6,0.55
69021,0.4,0.35
45021,0.8,0.75
65941,0.6,0.55
83161,0.7498,0.7
63011,0.7498,0.65
77411,0.85,0.8
69811,0.65,0.6
33821,0.6,0.55
80311,0.7,0.65
87501,0.75,0.65
69541,0.7,0.65
62731,0.7,0.65
49011,0.55,0.5
45031,0.75,0.7
67021,0.7,0.65
45281,0.6,0.5
45431,0.6,0.55
46891,0.2986,0.25
90221,0.55,0.5
19281,0.7,0.6
65031,0.7,0.65
34071,0.7,0.6
69711,0.6,0.55
85911,0.75,0.7
77011,0.65,0.55
67521,0.6999,0.65
88011,0.6498,0.6
88021,0.65,0.6
90201,0.65,0.6
62011,0.35,0.3
87251,0.5499,0.5
58021,0.7,0.6
82671,0.6,0.55
80531,0.7499,0.7
65021,0.65,0.6
72021,0.6,0.5
46841,0.5,0.45
78321,0.6,0.55
19251,.5999               0,0.55
45071,0.6,0.55
97351,0.65,0.6
54011,0.7,0.65
67621,0.6,0.5
91071,0.4957,0.4
91011,0.75,0.7
45231,0.6,0.5
90641,0.55,0.45
68571,0.6,0.55
54861,0.4,0.3
28011,0.5,0.45
